PIO_CAPTURING...
PIO_CAPTURE_DONE count=32768 sample_hz=33250000.0
BEGIN_PIO_CAPTURE
sample_hz=33250000.0
idx,delta_ns,p6,fd7,fd6,fd5,fd4,fd3,fd2,fd1,fd0,reb,p16,p17,p18,p19,rst-,p21,p22
157,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
158,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
159,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
160,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
161,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
162,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
163,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
164,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
165,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
166,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
167,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
168,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
169,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
170,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
171,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
172,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
173,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
174,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
175,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
176,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
177,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
178,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
179,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
180,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
181,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
182,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
183,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
184,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
185,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
186,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
187,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
188,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
189,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
190,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
191,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
192,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
193,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
194,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
195,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
196,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
197,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
198,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
199,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
200,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
201,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
202,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
203,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
204,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
205,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
206,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
207,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
208,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
209,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
210,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
211,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
212,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
213,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
214,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
215,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
216,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
217,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
218,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
219,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
220,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
221,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
222,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
223,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
224,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
225,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
226,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
227,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
228,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
229,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
230,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
231,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
232,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
233,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
234,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
235,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
236,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
237,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
